Booking_ID,no_of_adults,no_of_children,total_people,no_of_weekend_nights,no_of_week_nights,total_nights,lead_time,avg_price_per_room,booking_status
INN00001,2,0,2,1,2,3,224,65.0,Not_Canceled
INN00002,2,0,2,2,3,5,5,106.68000030517578,Not_Canceled
INN00003,1,0,1,2,1,3,1,60.0,Canceled
INN00004,2,0,2,0,2,2,211,100.0,Canceled
INN00005,2,0,2,1,1,2,48,94.5,Canceled
INN00006,2,0,2,0,2,2,346,115.0,Canceled
INN00007,2,0,2,1,3,4,34,107.55000305175781,Not_Canceled
INN00008,2,0,2,1,3,4,83,105.61000061035156,Not_Canceled
INN00009,3,0,3,0,4,4,121,96.9000015258789,Not_Canceled
INN00010,2,0,2,0,5,5,44,133.44000244140625,Not_Canceled
INN00011,1,0,1,1,0,1,0,85.02999877929688,Not_Canceled
INN00012,1,0,1,2,1,3,35,140.39999389648438,Not_Canceled
INN00013,2,0,2,2,1,3,30,88.0,Canceled
INN00014,1,0,1,2,0,2,95,90.0,Canceled
INN00015,2,0,2,0,2,2,47,94.5,Not_Canceled
INN00016,2,0,2,0,2,2,256,115.0,Canceled
INN00017,1,0,1,1,0,1,0,96.0,Not_Canceled
INN00018,2,0,2,1,3,4,1,96.0,Not_Canceled
INN00019,2,0,2,2,2,4,99,65.0,Canceled
INN00020,2,0,2,1,0,1,12,72.0,Not_Canceled
INN00021,2,0,2,2,2,4,99,65.0,Canceled
INN00022,1,0,1,0,1,1,122,67.0,Not_Canceled
INN00023,2,0,2,2,4,6,2,85.0,Not_Canceled
INN00024,2,0,2,0,3,3,37,105.0,Not_Canceled
INN00025,2,0,2,2,1,3,130,94.5,Not_Canceled
INN00026,2,0,2,0,2,2,99,114.30000305175781,Not_Canceled
INN00027,2,0,2,1,1,2,60,65.0,Not_Canceled
INN00028,1,0,1,0,2,2,2,110.0,Canceled
INN00029,1,0,1,1,2,3,37,37.33000183105469,Canceled
INN00030,2,0,2,0,2,2,56,82.0,Not_Canceled
INN00031,2,0,2,1,1,2,3,177.5,Not_Canceled
INN00032,2,0,2,2,2,4,107,87.5,Not_Canceled
INN00033,0,2,2,0,3,3,56,82.44000244140625,Not_Canceled
INN00034,2,0,2,0,1,1,2,69.5,Not_Canceled
INN00035,2,0,2,0,2,2,72,85.5,Not_Canceled
INN00036,2,0,2,0,1,1,23,115.0,Not_Canceled
INN00037,1,0,1,2,1,3,34,81.0,Canceled
INN00038,2,0,2,0,1,1,289,67.0,Not_Canceled
INN00039,2,0,2,2,3,5,247,63.75,Canceled
INN00040,2,0,2,2,1,3,186,121.80000305175781,Canceled
INN00041,2,0,2,0,4,4,64,93.5999984741211,Not_Canceled
INN00042,2,0,2,0,2,2,35,102.0,Not_Canceled
INN00043,3,0,3,2,1,3,96,121.80000305175781,Not_Canceled
INN00044,2,0,2,1,1,2,41,98.0999984741211,Canceled
INN00045,2,0,2,0,4,4,55,60.0,Not_Canceled
INN00046,2,0,2,0,3,3,146,75.0,Not_Canceled
INN00047,1,0,1,0,2,2,32,73.0,Not_Canceled
INN00048,2,0,2,0,1,1,55,104.0,Not_Canceled
INN00049,2,0,2,0,4,4,57,79.19999694824219,Not_Canceled
INN00050,1,0,1,1,3,4,7,125.80000305175781,Not_Canceled
INN00051,1,0,1,2,5,7,124,87.94999694824219,Not_Canceled
INN00052,2,0,2,2,2,4,169,106.0,Canceled
INN00053,1,0,1,1,2,3,6,136.6699981689453,Not_Canceled
INN00054,2,0,2,0,4,4,51,60.0,Not_Canceled
INN00055,2,0,2,1,0,1,13,89.0,Not_Canceled
INN00056,2,0,2,1,3,4,100,136.0,Not_Canceled
INN00057,2,0,2,0,1,1,139,94.5,Not_Canceled
